Outcome,Group,Subgroup,Screened_Events,Screened_PY,Screened_Rate,Unscreened_Events,Unscreened_PY,Unscreened_Rate,RR,CI_Lower,CI_Upper,P_Value
Lung cancer incidence,Overall,Overall,148,113654,1.3,143,128008.6,1.12,1.17,0.93,1.47,0.191071135837799
Lung cancer incidence,Sex,Male,2,3615.7,0.55,3,3207.3,0.94,0.59,0.1,3.54,0.564977696019202
Lung cancer incidence,Sex,Female,146,110038.3,1.33,140,124801.4,1.12,1.18,0.94,1.49,0.155879877258058
Lung cancer incidence,Age group (years),40-49,20,23432,0.85,13,25537.8,0.51,1.68,0.83,3.37,0.146854924796908
Lung cancer incidence,Age group (years),50-54,27,28713.4,0.94,27,29017.1,0.93,1.01,0.59,1.72,0.969162882799283
Lung cancer incidence,Age group (years),55-74,101,61508.5,1.64,103,73453.7,1.4,1.17,0.89,1.54,0.259587279293953
Lung cancer incidence,Family history,No,100,84603.8,1.18,109,101778.3,1.07,1.1,0.84,1.45,0.476244967679949
Lung cancer incidence,Family history,Yes,48,29050.2,1.65,34,26230.3,1.3,1.27,0.82,1.98,0.278864420985095
Lung cancer incidence,Occupational hazard,No,81,69068.4,1.17,107,87405.8,1.22,0.96,0.72,1.28,0.770759463657259
Lung cancer incidence,Occupational hazard,Yes,67,44585.6,1.5,36,40602.8,0.89,1.69,1.13,2.54,0.0106755817330289
Lung cancer incidence,Chronic respiratory disease,No,37,36302.9,1.02,37,46089.2,0.8,1.27,0.8,2,0.304608006753881
Lung cancer incidence,Chronic respiratory disease,Yes,111,77351.1,1.44,106,81919.5,1.29,1.11,0.85,1.45,0.446103021158347
Lung cancer mortality,Overall,Overall,24,114032.1,0.21,27,128266.3,0.21,1,0.58,1.73,0.999560393092398
Lung cancer mortality,Sex,Male,0,3616.2,0,0,3206.4,0,,,,
Lung cancer mortality,Sex,Female,24,110416,0.22,27,125059.9,0.22,1.01,0.58,1.74,0.980789834732155
Lung cancer mortality,Age group (years),40-49,1,23488.7,0.04,1,25558.7,0.04,1.09,0.07,17.4,0.952377906992004
Lung cancer mortality,Age group (years),50-54,3,28815.7,0.1,7,29095.6,0.24,0.43,0.11,1.67,0.224807948368261
Lung cancer mortality,Age group (years),55-74,20,61727.7,0.32,19,73612,0.26,1.26,0.67,2.35,0.477875440864207
Lung cancer mortality,Family history,No,20,84843.9,0.24,17,101968.1,0.17,1.41,0.74,2.7,0.293734681610439
Lung cancer mortality,Family history,Yes,4,29188.3,0.14,10,26298.2,0.38,0.36,0.11,1.15,0.0845173623341318
Lung cancer mortality,Occupational hazard,No,14,69283.6,0.2,22,87604,0.25,0.8,0.41,1.57,0.524911367127932
Lung cancer mortality,Occupational hazard,Yes,10,44748.6,0.22,5,40662.3,0.12,1.82,0.62,5.32,0.275414319247719
Lung cancer mortality,Chronic respiratory disease,No,2,36402.4,0.05,8,46166.2,0.17,0.32,0.07,1.49,0.146229569128224
Lung cancer mortality,Chronic respiratory disease,Yes,22,77629.7,0.28,19,82100.1,0.23,1.22,0.66,2.26,0.517714073380384
All-cause mortality,Overall,Overall,69,114032.1,0.61,78,128266.3,0.61,1,0.72,1.38,0.975990626290695
All-cause mortality,Sex,Male,2,3616.2,0.55,3,3206.4,0.94,0.59,0.1,3.54,0.564681692708883
All-cause mortality,Sex,Female,67,110416,0.61,75,125059.9,0.6,1.01,0.73,1.41,0.944310161137978
All-cause mortality,Age group (years),40-49,4,23488.7,0.17,4,25558.7,0.16,1.09,0.27,4.35,0.904925309576679
All-cause mortality,Age group (years),50-54,11,28815.7,0.38,14,29095.6,0.48,0.79,0.36,1.75,0.56559202735832
All-cause mortality,Age group (years),55-74,54,61727.7,0.87,60,73612,0.82,1.07,0.74,1.55,0.706182004489834
All-cause mortality,Family history,No,51,84843.9,0.6,54,101968.1,0.53,1.14,0.77,1.66,0.516452502782482
All-cause mortality,Family history,Yes,18,29188.3,0.62,24,26298.2,0.91,0.68,0.37,1.25,0.208742390595298
All-cause mortality,Occupational hazard,No,41,69283.6,0.59,57,87604,0.65,0.91,0.61,1.36,0.643197127357759
All-cause mortality,Occupational hazard,Yes,28,44748.6,0.63,21,40662.3,0.52,1.21,0.69,2.13,0.506149730180194
All-cause mortality,Chronic respiratory disease,No,10,36402.4,0.27,21,46166.2,0.45,0.6,0.28,1.28,0.189311806214153
All-cause mortality,Chronic respiratory disease,Yes,59,77629.7,0.76,57,82100.1,0.69,1.09,0.76,1.58,0.62615186395379
