Outcome,Group,Subgroup,Comparison,Target_Events,Target_PY,Target_Rate,Ref_Events,Ref_PY,Ref_Rate,RR,CI_Lower,CI_Upper
Lung cancer incidence,Overall,Overall,High-risk screened vs Low-risk,148,113654,1.3,2178,2206848.6,0.99,1.32,1.12,1.56
Lung cancer incidence,Overall,Overall,High-risk non-screened vs Low-risk,143,128008.6,1.12,2178,2206848.6,0.99,1.13,0.96,1.34
Lung cancer incidence,Overall,Overall,High-risk screened vs High-risk non-screened,148,113654,1.3,143,128008.6,1.12,1.17,0.93,1.47
Lung cancer incidence,Sex,Male,High-risk screened vs Low-risk,2,3615.7,0.55,759,696301.7,1.09,0.51,0.13,2.03
Lung cancer incidence,Sex,Male,High-risk non-screened vs Low-risk,3,3207.3,0.94,759,696301.7,1.09,0.86,0.28,2.67
Lung cancer incidence,Sex,Male,High-risk screened vs High-risk non-screened,2,3615.7,0.55,3,3207.3,0.94,0.59,0.1,3.54
Lung cancer incidence,Sex,Female,High-risk screened vs Low-risk,146,110038.3,1.33,1419,1510546.9,0.94,1.41,1.19,1.67
Lung cancer incidence,Sex,Female,High-risk non-screened vs Low-risk,140,124801.4,1.12,1419,1510546.9,0.94,1.19,1,1.42
Lung cancer incidence,Sex,Female,High-risk screened vs High-risk non-screened,146,110038.3,1.33,140,124801.4,1.12,1.18,0.94,1.49
Lung cancer incidence,Age group,40-49,High-risk screened vs Low-risk,20,23432,0.85,346,736928.2,0.47,1.82,1.16,2.85
Lung cancer incidence,Age group,40-49,High-risk non-screened vs Low-risk,13,25537.8,0.51,346,736928.2,0.47,1.08,0.62,1.89
Lung cancer incidence,Age group,40-49,High-risk screened vs High-risk non-screened,20,23432,0.85,13,25537.8,0.51,1.68,0.83,3.37
Lung cancer incidence,Age group,50-54,High-risk screened vs Low-risk,27,28713.4,0.94,350,420159.7,0.83,1.13,0.76,1.67
Lung cancer incidence,Age group,50-54,High-risk non-screened vs Low-risk,27,29017.1,0.93,350,420159.7,0.83,1.12,0.76,1.65
Lung cancer incidence,Age group,50-54,High-risk screened vs High-risk non-screened,27,28713.4,0.94,27,29017.1,0.93,1.01,0.59,1.72
Lung cancer incidence,Age group,55-74,High-risk screened vs Low-risk,101,61508.5,1.64,1482,1049760.6,1.41,1.16,0.95,1.42
Lung cancer incidence,Age group,55-74,High-risk non-screened vs Low-risk,103,73453.7,1.4,1482,1049760.6,1.41,0.99,0.81,1.21
Lung cancer incidence,Age group,55-74,High-risk screened vs High-risk non-screened,101,61508.5,1.64,103,73453.7,1.4,1.17,0.89,1.54
Lung cancer incidence,Family history,No,High-risk screened vs Low-risk,100,84603.8,1.18,2091,2148318,0.97,1.21,0.99,1.48
Lung cancer incidence,Family history,No,High-risk non-screened vs Low-risk,109,101778.3,1.07,2091,2148318,0.97,1.1,0.91,1.33
Lung cancer incidence,Family history,No,High-risk screened vs High-risk non-screened,100,84603.8,1.18,109,101778.3,1.07,1.1,0.84,1.45
Lung cancer incidence,Family history,Yes,High-risk screened vs Low-risk,48,29050.2,1.65,87,58530.6,1.49,1.11,0.78,1.58
Lung cancer incidence,Family history,Yes,High-risk non-screened vs Low-risk,34,26230.3,1.3,87,58530.6,1.49,0.87,0.59,1.3
Lung cancer incidence,Family history,Yes,High-risk screened vs High-risk non-screened,48,29050.2,1.65,34,26230.3,1.3,1.27,0.82,1.98
Lung cancer incidence,Occupational hazard,No,High-risk screened vs Low-risk,81,69068.4,1.17,1969,1986349.4,0.99,1.18,0.95,1.48
Lung cancer incidence,Occupational hazard,No,High-risk non-screened vs Low-risk,107,87405.8,1.22,1969,1986349.4,0.99,1.23,1.02,1.5
Lung cancer incidence,Occupational hazard,No,High-risk screened vs High-risk non-screened,81,69068.4,1.17,107,87405.8,1.22,0.96,0.72,1.28
