Subgroup,LC_incidence_RR,LC_mortality_RR,All_cause_mortality_RR,P_value
Overall,1.17 (0.93-1.47),1.00 (0.58-1.73),1.00 (0.72-1.38),0.1911
Sex,"","","",""
  Male,0.59 (0.10-3.54),N/A,0.59 (0.10-3.54),0.5650
  Female,1.18 (0.94-1.49),1.01 (0.58-1.74),1.01 (0.73-1.41),0.1559
Age group (years),"","","",""
  40-49,1.68 (0.83-3.37),1.09 (0.07-17.40),1.09 (0.27-4.35),0.1469
  50-54,1.01 (0.59-1.72),0.43 (0.11-1.67),0.79 (0.36-1.75),0.9692
  55-74,1.17 (0.89-1.54),1.26 (0.67-2.35),1.07 (0.74-1.55),0.2596
Family history,"","","",""
  No,1.10 (0.84-1.45),1.41 (0.74-2.70),1.14 (0.77-1.66),0.4762
  Yes,1.27 (0.82-1.98),0.36 (0.11-1.15),0.68 (0.37-1.25),0.2789
Occupational hazard,"","","",""
  No,0.96 (0.72-1.28),0.80 (0.41-1.57),0.91 (0.61-1.36),0.7708
  Yes,1.69 (1.13-2.54),1.82 (0.62-5.32),1.21 (0.69-2.13),0.0107
Chronic respiratory disease,"","","",""
  No,1.27 (0.80-2.00),0.32 (0.07-1.49),0.60 (0.28-1.28),0.3046
  Yes,1.11 (0.85-1.45),1.22 (0.66-2.26),1.09 (0.76-1.58),0.4461
